KODE OBAT,QTY Pesan
11002397,50
11002396,50
11002238,50
11000000,50
11000002,50
11000004,3
12001197,30
11002506,100
11001445,100
11001446,100
11001447,3
11001449,50
11001448,50
11000405,4
11000011,100
11000012,50
11001451,100
11001452,3
11002117,3
11001598,3
11001599,3
11000291,10
12002137,100
11000014,100
11002393,50
11002193,30
11001586,30
11001587,30
11000016,40
11002196,3
11002197,3
11000323,6
12005096,100
13019604,100
12004962,100
12000292,100
12005873,100
13020981,100
12005878,100
12005706,100
12005545,100
12005721,100
13019660,100
13019661,100
13019662,100
12005880,100
12005710,100
12000886,100
12000887,100
12000888,100
12000889,100
13017375,100
13017377,100
13022911,100
12000711,90
12005966,90
12006064,90
13078980,90
12008443,80
12005569,80
13080427,60
13070308,60
12004963,60
12005822,60
12006065,60
12000789,60
13084916,60
13019400,60
13019401,60
13019404,60
12003703,60
12005875,60
12005637,52
13076631,100
13014467,50
13014472,50
13014473,50
13014474,50
13014475,50
13003881,100
13000146,30
13008168,30
12005582,50
13019697,50
12005704,50
12000766,50
12000771,50
12000772,50
12000774,50
13077824,50
13091397,50
12005454,50
13010573,50
13010572,50
13081181,100
13070373,50
12005483,50
12005879,50
13004082,50
12005546,50
13019456,50
12000315,50
13021169,36
13021173,36
13021346,36
13021347,36
13017350,36
13017351,36
13000201,1
13000033,1
13000576,1
13000219,1
13000221,1
13000045,1
13000046,1
13000047,1
13019849,30
13019850,30
13022755,30
13022756,30
13010568,30
13022776,30
13070485,30
12005147,30
13021366,30
13085103,25
13018114,24
13000052,1
13000053,1
13000051,1
12005376,20
13074679,20
13070369,12
13019939,12
13018113,12
13020139,14
13076414,12
13019579,12
13019671,22
13021054,8
13019610,6
12005079,6
12004996,6
13020137,6
12003838,6
13063764,6
12004654,6
13019919,6
12004468,6
13091579,6
13082023,6
13077948,6
13077949,6
13077947,6
12005983,6
12004496,6
13079214,6
13022797,6
13022799,6
13022800,6
12004486,6
13019792,6
13019812,6
13026833,6
12004841,6
13018149,6
13019393,6
13077022,6
13020122,6
13077021,6
13015218,5
12001989,5
12001992,5
13063642,3
12004345,3
12004346,3
13021101,3
13021106,3
13018442,3
13019596,3
12004663,3
12004560,3
12004495,3
13019389,3
13019390,3
13021172,3
13022415,3
12006432,3
12004278,3
12004279,3
13037311,3
12004280,3
12005970,3
12004281,3
13019988,3
12004283,3
13085806,3
13077513,3
12002112,3
12002113,3
12002115,3
13022422,3
12004016,3
13019420,3
13019607,3
13019609,3
13023333,3
13023334,3
13070391,3
13022687,3
13070394,3
12003836,3
13027107,3
13027108,3
13019998,3
13020004,3
13020003,3
13063761,3
13063760,3
12004874,3
13019858,3
13019857,3
12003712,3
12003714,3
12003821,3
13022453,3
12000762,3
12000764,3
12006576,3
13019498,3
12004780,3
12003728,3
12000289,3
12000795,3
13060865,3
13061417,3
13026626,3
13026954,3
13020017,3
13020019,3
12000975,3
13012122,3
13017266,3
13017268,3
13017270,3
13079208,3
13085915,3
13018210,3
13021217,3
13021218,3
13020039,3
13020041,3
13020044,3
13020048,3
13017899,3
12003746,3
12004286,3
13086109,3
12004876,3
12004350,3
12004352,3
13023610,3
13023611,3
12001987,3
13081343,3
13008155,3
13019741,3
13021156,3
13077583,3
13077586,3
13070384,3
13017942,3
13020062,3
13020063,3
12004006,3
12004007,3
13070294,3
13078816,3
13017951,3
13021317,3
13021319,3
13021320,3
13019513,3
13060836,3
13020091,3
13019819,3
13008139,3
13020098,3
13086255,3
13070299,3
13022856,3
13022857,3
12004842,3
12004572,3
13079118,3
13021093,3
13021094,3
13019557,3
13077428,3
12004255,3
13021159,2
13021160,2
13020069,2
13020070,2
13018502,2
13030179,1
13011222,50
11000383,3
11002298,50
11002299,50
11001459,50
13011180,30
13011178,60
11001460,50
11001461,50
11000021,3
11000022,50
11000024,60
13026939,50
13070500,3
11000025,30
11001864,3
11000295,3
12009849,30
11000029,30
11002212,30
11002209,90
11002245,90
11002227,20
12009858,30
13011160,50
11001469,50
11001470,30
11001471,100
11001472,3
11001474,100
11001478,50
13085214,50
13085215,50
12005337,50
11002383,50
11001487,50
11000310,3
11001978,3
11001979,3
11001980,3
11002446,3
11002073,6
11002051,6
11002052,6
11002076,6
11002074,6
11002075,6
11002803,30
11000071,10
11001491,100
11000391,3
11000072,50
11000073,50
11000074,50
11000075,50
11000076,50
11001499,50
11000394,3
12005474,100
11000303,3
11000305,3
13011207,50
11000395,3
13011280,30
13011132,50
11001223,10
11001518,30
13070336,100
11000219,20
12005555,100
13011311,50
13027054,50
11000296,3
11000107,50
11000108,50
11002483,3
12000837,60
11001530,50
11001535,30
13078724,30
11001536,50
11000298,3
11001538,100
11001539,12
11001542,100
11001544,100
11001551,50
11001555,100
11001556,50
11002254,3
11002127,3
11001557,50
11001558,50
11001563,100
12009916,100
11001571,100
11001573,100
11001574,100
11002594,100
11001576,100
11001577,100
11001578,100
11001579,100